Name,RT,Volume,Log P,Anchor,prefix,suffix,a,b,c,prefix_d,prefix_e,prefix_f,sugar_count,classification,outlier_reason,regression_group,priority_series,regression_r_squared,regression_equation,regression_p_value
GM1+HexNAc(36:1;O2),9.991,37236,1.85,F,GM1+HexNAc,(36:1;O2),36,1,O2,G,M,1,6,outlier,isomer_rule,,,,,
GM1+HexNAc(36:1;O2),8.99,27686,1.85,F,GM1+HexNAc,(36:1;O2),36,1,O2,G,M,1,6,outlier,isomer_rule,,,,,
GM2(34:0;O2),13.302,7888,5.03,F,GM2,(34:0;O2),34,0,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(34:1;O2),8.499,324165,4.51,F,GM2,(34:1;O2),34,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(34:1;O2),7.585,17978,4.51,F,GM2,(34:1;O2),34,1,O2,G,M,2,4,outlier,OAc_rule_violation,,,,,
GM2(36:0;O2),9.814,103863,6.11,F,GM2,(36:0;O2),36,0,O2,G,M,2,4,outlier,sugar_count_rule,,,,,
GM2(36:0;O2),10.716,25500,6.11,F,GM2,(36:0;O2),36,0,O2,G,M,2,4,outlier,sugar_count_rule,,,,,
GM2(36:1;O2),9.144,1948403,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(36:1;O2),10.092,1063518,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(36:1;O2),10.412,314138,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,sugar_count_rule,,,,,
GM2(36:1;O2),8.717,106771,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,OAc_rule_violation,,,,,
GM2(36:1;O2),9.65,89339,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(36:1;O2),10.05,26542,5.59,F,GM2,(36:1;O2),36,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(36:2;O2),8.093,44213,4.66,F,GM2,(36:2;O2),36,2,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(36:2;O2),9.013,38876,4.66,F,GM2,(36:2;O2),36,2,O2,G,M,2,4,outlier,sugar_count_rule,,,,,
GM2(37:1;O2),9.957,32740,6.13,F,GM2,(37:1;O2),37,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:0;O2),11.335,72731,7.19,F,GM2,(38:0;O2),38,0,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:0;O2),12.191,36260,7.19,F,GM2,(38:0;O2),38,0,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:1;O2),10.693,1339540,6.68,F,GM2,(38:1;O2),38,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:1;O2),11.615,739679,6.68,F,GM2,(38:1;O2),38,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:1;O2),11.919,149628,6.68,F,GM2,(38:1;O2),38,1,O2,G,M,2,4,outlier,no_linear_relationship,,,,,
GM2(38:1;O2),10.254,94292,6.68,F,GM2,(38:1;O2),38,1,O2,G,M,2,4,outlier,OAc_rule_violation,,,,,
